age,education,employment,income,marital_status,violence
30,tertiary,unemployed,0,married,0
50,primary,unemployed,0,married,1
50,none,unemployed,0,married,1
21,secondary,unemployed,0,unmarred,0
24,secondary,unemployed,0,unmarred,0
26,secondary,unemployed,0,married,0
26,tertiary,employed,35000,married,0
20,secondary,unemployed,0,married,0
15,secondary,unemployed,0,unmarred,0
21,secondary,semi employed,3000,unmarred,0
18,secondary,unemployed,0,unmarred,0
33,secondary,unemployed,0,married,0
36,primary,unemployed,0,married,0
45,primary,unemployed,0,married,0
29,secondary,unemployed,0,married,0
33,primary,unemployed,0,unmarred,0
48,secondary,semi employed,4000,married,0
31,tertiary,semi employed,6000,married,0
45,primary,unemployed,0,married,0
22,secondary,unemployed,0,married,0
34,tertiary,unemployed,0,married,0
38,primary,unemployed,0,married,0
40,none,unemployed,0,married,0
34,primary,unemployed,0,married,0
35,primary,unemployed,0,married,0
32,secondary,unemployed,0,married,0
30,secondary,unemployed,0,married,0
24,primary,unemployed,0,married,0
22,none,unemployed,0,married,0
35,none,unemployed,0,married,0
40,secondary,unemployed,0,married,1
24,tertiary,unemployed,0,unmarred,0
22,tertiary,unemployed,0,married,1
45,tertiary,employed,27000,married,0
22,primary,unemployed,0,married,0
47,none,unemployed,0,married,0
50,tertiary,employed,3500,married,1
27,tertiary,semi employed,30000,unmarred,0
25,secondary,unemployed,0,married,0
25,primary,semi employed,2000,married,0
22,secondary,semi employed,6000,married,0
60,primary,unemployed,0,married,0
28,primary,unemployed,0,married,0
44,primary,unemployed,0,married,0
25,secondary,unemployed,0,married,0
23,secondary,unemployed,0,unmarred,1
42,tertiary,employed,24000,married,0
19,secondary,semi employed,3000,married,0
55,none,unemployed,0,married,1
50,none,unemployed,0,married,1
29,primary,unemployed,0,married,0
18,secondary,unemployed,0,married,0
27,secondary,unemployed,0,married,0
27,secondary,semi employed,7000,married,0
